,,,,,0,1,2,3,4
1:0,2,70 - 100,power,3650,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(11888661.215, 5523469.627)"
1:0,3,0 - 100,power,3650,"(0.361, 0.258)","(0.226, 0.171)","(0.277, 0.203)","(0.193, 0.138)","(37807.138, 3037.515)"
1:0,3,20 - 70,power,3650,"(0.265, 0.079)","(0.232, 0.074)","(0.247, 0.076)","(0.143, 0.054)","(2044.445, 666.634)"
1:0,3,20 - 60,power,3650,"(0.19, 0.04)","(0.167, 0.034)","(0.175, 0.031)","(0.175, 0.031)","(132752.821, 130003.469)"
1:0,3,60 - 70,power,3650,"(0.098, 0.093)","(0.071, 0.058)","(0.082, 0.071)","(0.082, 0.071)","(737.065, 109.824)"
1:0,3,0 - 20,power,3650,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(55755661.019, 41489585.38)"
1:0,3,70 - 100,power,3650,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(15036075.373, 8790546.123)"
1:0.1,2,0 - 100,power,3650,"(0.26, 0.034)","(0.249, 0.06)","(0.253, 0.044)","(0.214, 0.051)","(6.927, 0.171)"
1:0.1,2,20 - 70,power,3650,"(0.214, 0.067)","(0.229, 0.04)","(0.22, 0.054)","(0.182, 0.081)","(5.846, 0.946)"
1:0.1,2,20 - 60,power,3650,"(0.177, 0.077)","(0.184, 0.09)","(0.178, 0.077)","(0.132, 0.1)","(3.224, 0.778)"
1:0.1,2,60 - 70,power,3650,"(0.12, 0.098)","(0.205, 0.163)","(0.151, 0.122)","(0.137, 0.105)","(1.569, 0.032)"
1:0.1,2,0 - 20,power,3650,"(0.217, 0.091)","(0.403, 0.161)","(0.281, 0.116)","(0.214, 0.115)","(0.803, 0.025)"
1:0.1,2,70 - 100,power,3650,"(0.174, 0.123)","(0.364, 0.258)","(0.235, 0.167)","(0.179, 0.128)","(0.791, 0.027)"
1:0.1,3,0 - 100,power,3650,"(0.245, 0.045)","(0.178, 0.063)","(0.2, 0.047)","(0.122, 0.089)","(7.802, 0.658)"
1:0.1,3,20 - 70,power,3650,"(0.264, 0.09)","(0.273, 0.099)","(0.267, 0.092)","(0.172, 0.071)","(5.651, 0.874)"
1:0.1,3,20 - 60,power,3650,"(0.158, 0.066)","(0.114, 0.061)","(0.132, 0.064)","(0.109, 0.032)","(3.451, 0.988)"
1:0.1,3,60 - 70,power,3650,"(0.121, 0.089)","(0.172, 0.122)","(0.142, 0.102)","(0.094, 0.074)","(1.471, 0.201)"
1:0.1,3,0 - 20,power,3650,"(0.24, 0.065)","(0.504, 0.086)","(0.324, 0.077)","(0.246, 0.037)","(0.818, 0.022)"
