,,,,,0,1,2,3,4
1:0.1,3,20 - 70,min-max,3650,"(0.2, 0.12)","(0.062, 0.012)","(0.095, 0.027)","(0.035, 0.004)","(8.549, 7.01)"
1:0.1,3,20 - 60,min-max,3650,"(0.067, 0.013)","(0.024, 0.002)","(0.035, 0.004)","(0.035, 0.004)","(4.025, 0.186)"
1:0.1,3,60 - 70,min-max,3650,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(2.328, 0.05)"
1:0.1,3,0 - 20,min-max,3650,"(0.167, 0.083)","(0.022, 0.001)","(0.039, 0.005)","(0.0, 0.0)","(0.727, 0.0)"
1:0.1,3,70 - 100,min-max,3650,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.727, 0.0)"
1:1,2,0 - 100,min-max,3650,"(0.042, 0.005)","(0.024, 0.002)","(0.03, 0.003)","(0.03, 0.003)","(5.707, 19.164)"
1:1,2,20 - 70,min-max,3650,"(0.048, 0.007)","(0.024, 0.002)","(0.032, 0.003)","(0.032, 0.003)","(2.443, 0.032)"
1:1,2,20 - 60,min-max,3650,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(1.551, 0.069)"
1:1,2,60 - 70,min-max,3650,"(0.067, 0.013)","(0.024, 0.002)","(0.035, 0.004)","(0.035, 0.004)","(1.1, 0.017)"
1:1,2,0 - 20,min-max,3650,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.742, 0.0)"
1:1,2,70 - 100,min-max,3650,"(0.167, 0.083)","(0.024, 0.002)","(0.042, 0.005)","(0.042, 0.005)","(0.734, 0.0)"
1:1,3,0 - 100,min-max,3650,"(0.067, 0.013)","(0.022, 0.001)","(0.033, 0.003)","(0.0, 0.0)","(5.34, 14.134)"
1:1,3,20 - 70,min-max,3650,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(2.771, 0.026)"
1:1,3,20 - 60,min-max,3650,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(1.728, 0.005)"
1:1,3,60 - 70,min-max,3650,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(1.257, 0.001)"
1:1,3,0 - 20,min-max,3650,"(0.111, 0.037)","(0.022, 0.001)","(0.037, 0.004)","(0.0, 0.0)","(0.75, 0.0)"
1:1,3,70 - 100,min-max,3650,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.733, 0.0)"
