Rs,Rj,Ra,Sj,Sa,Sb,Cj,Ca,Cb,Fc
54.8263580397,0.2682023952,0.9892844958,8.5102954382,9.9541222425,50.0309572551,8.1865680316,0.8093542078,0.8424816158,0.0
54.826390297,0.2682024104,0.9892844877,8.5102915383,9.9541143771,50.0309342885,8.1865650525,0.8093542152,0.8424827137,0.0
54.826422502,0.2682024262,0.9892844797,8.5102876724,9.9541065409,50.0309112759,8.1865620654,0.8093542158,0.8424838104,0.0
54.8264546538,0.2682024426,0.9892844718,8.5102838404,9.9540987343,50.0308882177,8.1865590706,0.8093542098,0.8424849056,0.0
54.8264867513,0.2682024596,0.989284464,8.5102800425,9.954090958,50.0308651144,8.186556068,0.8093541971,0.8424859995,0.0
54.8265187936,0.2682024772,0.9892844563,8.5102762789,9.9540832124,50.0308419663,8.1865530579,0.809354178,0.8424870921,0.0
54.8265507796,0.2682024954,0.9892844487,8.5102725496,9.9540754981,50.0308187737,8.1865500402,0.8093541523,0.8424881833,0.0
54.8265827083,0.2682025142,0.9892844411,8.5102688548,9.9540678156,50.0307955372,8.1865470151,0.8093541203,0.842489273,0.0
54.8266145787,0.2682025335,0.9892844337,8.5102651945,9.9540601656,50.030772257,8.1865439828,0.809354082,0.8424903615,0.0
54.8266463898,0.2682025535,0.9892844263,8.510261569,9.9540525484,50.0307489337,8.1865409432,0.8093540373,0.8424914485,0.0
54.8266781407,0.268202574,0.989284419,8.5102579782,9.9540449647,50.0307255675,8.1865378966,0.8093539865,0.8424925341,0.0
54.8267098303,0.2682025952,0.9892844118,8.5102544223,9.954037415,50.0307021588,8.186534843,0.8093539295,0.8424936183,0.0
54.8267414577,0.2682026169,0.9892844046,8.5102509014,9.9540298998,50.0306787082,8.1865317825,0.8093538665,0.8424947012,0.0
54.8267730219,0.2682026393,0.9892843976,8.5102474156,9.9540224196,50.030655216,8.1865287152,0.8093537975,0.8424957826,0.0
54.826804522,0.2682026622,0.9892843906,8.5102439649,9.9540149749,50.0306316825,8.1865256412,0.8093537226,0.8424968626,0.0
54.8268359569,0.2682026857,0.9892843837,8.5102405496,9.9540075663,50.0306081083,8.1865225607,0.8093536417,0.8424979413,0.0
54.8268673257,0.2682027097,0.9892843769,8.5102371696,9.9540001943,50.0305844937,8.1865194738,0.8093535551,0.8424990185,0.0
54.8268986276,0.2682027344,0.9892843702,8.5102338251,9.9539928594,50.0305608392,8.1865163804,0.8093534628,0.8425000942,0.0
54.8269298614,0.2682027597,0.9892843636,8.5102305161,9.953985562,50.0305371452,8.1865132809,0.8093533648,0.8425011686,0.0
54.8269610264,0.2682027855,0.989284357,8.5102272428,9.9539783027,50.030513412,8.1865101752,0.8093532612,0.8425022415,0.0
54.8269921216,0.2682028119,0.9892843505,8.5102240052,9.953971082,50.0304896401,8.1865070634,0.8093531521,0.842503313,0.0
54.8270231459,0.2682028389,0.9892843441,8.5102208034,9.9539639003,50.03046583,8.1865039457,0.8093530376,0.8425043831,0.0
54.8270540987,0.2682028665,0.9892843378,8.5102176374,9.9539567583,50.0304419821,8.1865008222,0.8093529176,0.8425054517,0.0
54.8270849788,0.2682028946,0.9892843315,8.5102145074,9.9539496562,50.0304180968,8.186497693,0.8093527924,0.8425065189,0.0
54.8271157854,0.2682029233,0.9892843253,8.5102114134,9.9539425947,50.0303941745,8.1864945582,0.8093526619,0.8425075846,0.0
54.8271465177,0.2682029526,0.9892843192,8.5102083555,9.9539355742,50.0303702157,8.1864914179,0.8093525262,0.8425086489,0.0
54.8271771747,0.2682029825,0.9892843132,8.5102053338,9.9539285951,50.0303462208,8.1864882722,0.8093523854,0.8425097117,0.0
54.8272077555,0.2682030129,0.9892843073,8.5102023482,9.953921658,50.0303221902,8.1864851212,0.8093522395,0.8425107731,0.0
54.8272382592,0.2682030439,0.9892843014,8.510199399,9.9539147634,50.0302981245,8.186481965,0.8093520887,0.842511833,0.0
54.827268685,0.2682030755,0.9892842956,8.510196486,9.9539079116,50.0302740239,8.1864788038,0.809351933,0.8425128914,0.0
54.8272990321,0.2682031077,0.9892842898,8.5101936095,9.9539011031,50.0302498891,8.1864756376,0.8093517724,0.8425139484,0.0
54.8273292994,0.2682031404,0.9892842842,8.5101907694,9.9538943384,50.0302257204,8.1864724666,0.8093516071,0.842515004,0.0
54.8273594863,0.2682031737,0.9892842786,8.5101879659,9.953887618,50.0302015183,8.1864692908,0.809351437,0.842516058,0.0
54.8273895918,0.2682032075,0.9892842731,8.5101851989,9.9538809422,50.0301772832,8.1864661104,0.8093512624,0.8425171106,0.0
54.8274196151,0.2682032419,0.9892842676,8.5101824684,9.9538743116,50.0301530157,8.1864629254,0.8093510831,0.8425181617,0.0
54.8274495554,0.2682032768,0.9892842622,8.5101797747,9.9538677265,50.030128716,8.1864597361,0.8093508994,0.8425192113,0.0
54.8274794118,0.2682033124,0.9892842569,8.5101771176,9.9538611875,50.0301043848,8.1864565424,0.8093507113,0.8425202595,0.0
54.8275091835,0.2682033484,0.9892842517,8.5101744972,9.9538546948,50.0300800224,8.1864533445,0.8093505188,0.8425213061,0.0
54.8275388698,0.268203385,0.9892842465,8.5101719136,9.9538482491,50.0300556294,8.1864501426,0.809350322,0.8425223513,0.0
54.8275684697,0.2682034222,0.9892842414,8.5101693668,9.9538418506,50.0300312061,8.1864469367,0.809350121,0.842523395,0.0
54.8275979825,0.2682034599,0.9892842364,8.5101668569,9.9538354998,50.0300067531,8.1864437269,0.8093499159,0.8425244372,0.0
54.8276274074,0.2682034982,0.9892842314,8.5101643838,9.9538291972,50.0299822708,8.1864405133,0.8093497067,0.8425254779,0.0
54.8276567436,0.268203537,0.9892842265,8.5101619476,9.9538229431,50.0299577597,8.1864372961,0.8093494934,0.8425265172,0.0
54.8276859903,0.2682035764,0.9892842216,8.5101595483,9.9538167379,50.0299332203,8.1864340754,0.8093492763,0.8425275549,0.0
54.8277151468,0.2682036163,0.9892842169,8.5101571859,9.953810582,50.0299086529,8.1864308512,0.8093490553,0.8425285911,0.0
54.8277442122,0.2682036567,0.9892842121,8.5101548606,9.9538044759,50.0298840582,8.1864276237,0.8093488304,0.8425296259,0.0
54.8277731859,0.2682036977,0.9892842075,8.5101525722,9.9537984199,50.0298594365,8.186424393,0.8093486019,0.8425306591,0.0
54.827802067,0.2682037392,0.9892842029,8.5101503208,9.9537924144,50.0298347884,8.1864211591,0.8093483696,0.8425316908,0.0
